,Time,SL,SH,SPL,SPH,I1L,I1H,I2L,I2H,I3L,I3H,I4L,I4H,I5L,I5H,D1L,D1H,D2L,D2H,D3L,D3H,D4L,D4H,D5L,D5H,E1L,E1H,E2L,E2H,E3L,E3H,E4L,E4H,E5L,E5H,U1L,U1H,U2L,U2H,U3L,U3H,U4L,U4H,U5L,U5H,T1L,T1H,T2L,T2H,T3L,T3H,T4L,T4H,T5L,T5H,NewI,NewA,NewD1,NewD2,NewD3,NewD4,NewD5,Deaths
Q30,2011.5,38071.84226,64050.09705,0,0,125.3168001,520.9889231,0,0,0,0,0,0,0,0,580.9626038,2220.760115,11.69267547,41.37921845,2.33635664,8.06070048,0,0,0,0,1994.931893,6095.567946,159.7445186,415.8472932,39.89973371,101.9395112,0,0,0,0,2203.795681,5431.639262,284.6083158,624.3281275,73.55795809,159.9654509,0,0,0,0,853.3496272,1931.694567,237.5667766,511.0865395,140.6898879,299.1003023,178.4469596,354.303557,1378.032585,2637.940324,21334.77362,6932.281691,0,451.0533043,1246.0672,1242.042957,7377.482861,13705.52315
Q31,2011.75,38199.58009,64141.44816,0,0,124.3060897,519.3862904,0,0,0,0,0,0,0,0,576.0506597,2212.682856,11.58361863,41.203781,2.31394876,8.02515716,0,0,0,0,1976.749199,6085.534909,158.7844354,417.0588478,39.6726519,102.2825878,0,0,0,0,2181.539594,5430.669069,284.6714626,629.6208764,73.62107705,161.4048486,0,0,0,0,843.7688072,1929.814601,235.5613407,511.581386,139.5762667,299.4708026,180.0351246,359.1397953,1405.218776,2697.458025,21981.00337,7145.733485,0,465.30901,1286.997922,1280.513865,7584.856792,14107.96947
Q32,2012,38328.11435,64237.49131,0,0,123.3254083,517.8320059,0,0,0,0,0,0,0,0,571.297538,2204.903975,11.47879846,41.03381713,2.29245587,7.99065465,0,0,0,0,1959.063603,6074.46188,157.8136578,418.078087,39.44157266,102.5754154,0,0,0,0,2159.876869,5428.795845,284.5958242,634.5682321,73.6448915,162.7514166,0,0,0,0,834.5000547,1927.992323,233.6096952,512.1076151,138.4923976,299.8658228,181.5773939,363.9206203,1431.617797,2756.004522,22624.71645,7358.491178,0,479.498174,1327.775843,1318.85222,7791.437231,14509.62312
Q33,2012.25,38457.5421,64338.44586,0,0,122.2916778,516.085522,0,0,0,0,0,0,0,0,566.6718331,2197.332608,11.3778897,40.86920186,2.27180763,7.95720842,0,0,0,0,1941.860411,6062.50091,156.8351412,418.9181345,39.20733856,102.8212768,0,0,0,0,2138.789662,5426.039385,279.1504823,627.555461,55.46463018,123.716861,11.63711162,25.88644044,12.12573796,26.8092871,825.5264129,1926.176817,231.5434778,512.2815769,137.0034802,299.3160599,183.2796824,369.0965317,1457.308837,2813.725922,23265.56616,7570.549099,0,493.6229343,1368.398932,1357.05704,7997.247733,14910.44789
Q34,2012.5,38588.04426,64444.83397,0,0,121.1471892,513.9374262,0,0,0,0,0,0,0,0,562.0516108,2189.60073,11.28024473,40.70868309,2.25192123,7.92475202,0,0,0,0,1925.10939,6049.739701,155.851469,419.5914101,38.97070604,103.0233406,0,0,0,0,2118.260262,5422.425538,268.0607702,607.9038128,47.44796741,106.9545158,12.69793497,28.47634397,31.23363308,69.24942242,816.8324734,1924.326224,228.9449998,511.1676978,135.2061701,298.0247415,184.7794763,373.8633994,1482.36515,2870.754874,23902.81677,7781.762842,0,507.6836285,1408.865646,1395.127349,8202.307152,15310.14796
Q35,2012.75,38719.62214,64556.67828,0,0,119.9755884,511.6062401,0,0,0,0,0,0,0,0,557.3771039,2181.489291,11.18490611,40.54982637,2.23266497,7.89303046,0,0,0,0,1908.761517,6036.188411,154.8646976,420.1090263,38.73232585,103.1845691,0,0,0,0,2098.269775,5417.980567,256.3004215,586.5745422,43.49479917,99.05633942,12.56929418,28.42740373,49.01330785,108.9918637,808.4041304,1922.406487,225.9541014,509.0640501,133.366725,296.5727411,185.981006,378.0016265,1506.627249,2926.708058,24536.4127,7992.019943,0,521.6781618,1449.174368,1433.062194,8406.630409,15708.49373
Q36,2013,38852.2568,64673.90427,0,0,118.818385,509.2266282,0,0,0,0,0,0,0,0,552.6560446,2172.985333,11.09106532,40.39038046,2.21388104,7.86166451,0,0,0,0,1892.767511,6021.833583,153.8763504,420.4805958,38.49272279,103.3076178,0,0,0,0,2078.797604,5412.727818,245.2529512,566.6079532,40.97206589,94.24661775,12.49111309,28.47819589,65.3243517,145.6959431,800.2283119,1920.390033,222.7780401,506.4190744,131.4946873,294.9764426,186.9894623,381.735786,1529.987859,2981.315713,25166.41793,8201.284026,0,535.6037432,1489.323078,1470.860617,8610.229127,16105.36074
Q37,2013.25,38985.92776,64796.40845,0,0,117.6917162,506.8656385,0,0,0,0,0,0,0,0,547.9181747,2164.164147,10.99820744,40.22885017,2.19542812,7.83028472,0,0,0,0,1877.086778,6006.670553,152.887535,420.7144754,38.25229968,103.3948134,0,0,0,0,2059.82191,5406.687626,235.2314995,548.6920656,39.04625549,90.70417657,12.51923233,28.75589321,80.51005068,180.0942032,792.2927541,1918.254575,219.5503092,503.5204671,129.6053488,293.2659608,187.8655241,385.1934768,1552.402052,3034.444468,25792.92861,8409.55862,0,549.4579458,1529.30936,1508.521631,8813.112148,16500.68387
Q38,2013.5,39120.61435,64924.07431,0,0,116.6015465,504.5563401,0,0,0,0,0,0,0,0,543.196092,2155.127223,10.90607894,40.06451875,2.17720356,7.79861182,0,0,0,0,1861.689016,5990.714121,151.8990808,420.8181185,38.01136049,103.4481985,0,0,0,0,2041.320326,5399.878546,226.2369549,532.8317933,37.43654346,87.81800498,12.61185615,29.17048501,94.79544467,212.6641454,784.58584,1915.982144,216.3503522,500.5387297,127.7246597,291.4955667,188.6422024,388.4421817,1573.857286,3086.031669,26416.05539,8616.866374,0,563.2390683,1569.130561,1546.044196,9015.285958,16894.43533
Q39,2013.75,39256.29587,65056.77946,0,0,115.5498769,502.3150873,0,0,0,0,0,0,0,0,538.5189727,2145.975373,10.81461789,39.89729016,2.15914626,7.76648524,0,0,0,0,1846.553235,5973.999333,150.9116458,420.798387,37.77013906,103.4695995,0,0,0,0,2023.27064,5392.318815,218.1850781,518.8470538,36.03727287,85.35934655,12.74114913,29.66156824,108.3178165,243.6929534,777.0965015,1913.558356,213.2256936,497.5757007,125.8774592,289.7177693,189.3412627,391.5252092,1594.359188,3136.054402,27035.91583,8823.239068,0,576.9461872,1608.783973,1583.427211,9216.755029,17286.612
